Conference,Winning School,Losing School
America East,Hofstra,Delaware
Atlantic 10,Temple,Massachusetts
Atlantic Coast,Duke,North Carolina
Big 12,Oklahoma,Texas
Big East,Boston College,Pittsburgh
Big Sky,CSU-Northridge,Eastern Washington
Big South,Winthrop,Radford
Big Ten,Iowa,Indiana
Big West,Utah State,Pacific
Colonial,George Mason,NC-Wilmington
Conference USA,Charlotte,Cincinnati
Metro Atlantic,Iona,Canisius
Mid-American,Kent State,Miami (OH)
Mid-Continent,Southern Utah,Valparaiso
Mid-Eastern,Hampton,South Carolina State
Midwestern,Butler,Detroit
Missouri Valley,Indiana State,Bradley
Mountain West,BYU,New Mexico
Northeast,Monmouth,St. Francis (NY)
Ohio Valley,Eastern Illinois,Austin Peay
Patriot,Holy Cross,Navy
Southeastern,Kentucky,Mississippi
Southern,NC-Greensboro,UT-Chattanooga
Southland,Northwestern State,McNeese State
Southwestern Athletic,Alabama State,
Sun Belt,WKU,South Alabama
Trans America,Georgia State,Troy State
West Coast,Gonzaga,Santa Clara
Western Athletic,Hawaii,Tulsa
